"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
104-1-000001,송림식당길 노상 공영주차장,공영,노상,,서울특별시 광진구 자양동 712,68,2,미시행,평일+토요일,09:00,18:00,09:00,15:00,00:00,00:00,유료,5,200,5,200,,,90000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,,,2023-01-26
104-1-000002,동서울호텔길 노상 공영주차장,공영,노상,,서울특별시 광진구 구의동 609-1,67,2,미시행,평일+토요일,09:00,18:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,100000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,,,2023-01-26
104-2-000002,동서울호텔길 공영주차장,공영,노외,,서울특별시 광진구 구의동 598-1,26,2,미시행,평일+토요일,09:00,18:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,100000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,,,2023-01-26
104-1-000003,신성시장길 노상 공영주차장,공영,노상,,서울특별시 광진구 중곡동 453,30,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5,250,,,100000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-450-7963,,,2023-01-26
104-2-000004,화양동 공영,공영,노외,서울특별시 광진구 군자로 22,서울특별시 광진구 화양동 63-2,44,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,80000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.54529787,127.0711809,2023-01-26
104-1-000005,중곡동복개천 노상 공영주차장,공영,노상,,서울특별시 광진구 중곡동 150-196,72,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,200,5,200,,,100000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,,,2023-01-26
104-2-000006,자양유수지,공영,노외,서울특별시 광진구 뚝섬로52길 58,서울특별시 광진구 자양동 594,281,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.52953686,127.0782846,2023-01-26
104-2-000007,자양4동 공영,공영,노외,,서울특별시 광진구 자양동 5-5,83,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,100000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.53864952,127.0681734,2023-01-26
104-2-000008,능동 공영주차장,공영,노외,서울특별시 광진구 천호대로112길 56,서울특별시 광진구 능동 205,77,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.55404255,127.0802429,2023-01-26
104-2-000009,광진광장 공영,공영,노외,서울특별시 광진구 광나루로 389,서울특별시 광진구 군자동 374,33,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,250,5,250,,,120000,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.54769328,127.0732156,2023-01-26
104-2-000010,구의1동 공영주차장,공영,노외,서울특별시 광진구 자양로18길 78,서울특별시 광진구 구의동 243-78,172,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.53826965,127.0878657,2023-01-26
104-2-000011,구의3동 공영주차장,공영,노외,서울특별시 광진구 광나루로52길 83,서울특별시 광진구 구의동 219-15,159,4,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,150,5,150,,,,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.53915358,127.0913608,2023-01-26
104-2-000012,중곡3동 마을공원 공영주차장,공영,노외,서울특별시 광진구 용마산로33길 25,서울특별시 광진구 중곡동 195-1,162,5,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,5,75,5,75,,,,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.56991861,127.0846836,2023-01-26
104-2-000013,구의2동 주택가공동 주차장,공영,노외,서울특별시 광진구 자양로 307,서울특별시 광진구 구의동 30-9,90,5,미시행,평일+토요일+공휴일,09:00,18:00,08:00,18:00,00:00,18:00,유료,5,75,5,75,,,,현금+신용카드,30퍼센트 할인(2자녀)+50퍼센트 할인(3자녀+경차+저공해)+80퍼센트 할인(장애인+유공자),서울특별시 광진구청,02-2049-4535,37.5529341,127.0928443,2023-01-26
